iter	Passed	Remaining
1045	68872	69398
1046	68927	69322
1047	68983	69247
1048	69040	69171
1049	69094	69094
1050	69152	69021
1051	69207	68944
1052	69266	68871
1053	69320	68793
1054	69375	68718
1055	69431	68642
1056	69487	68567
1057	69542	68490
1058	69597	68414
1059	69645	68331
1060	69702	68257
1061	69755	68179
1062	69810	68103
1063	69867	68028
1064	69923	67954
1065	69980	67879
1066	70035	67804
1067	70091	67728
1068	70148	67654
1069	70201	67577
1070	70258	67502
1071	70312	67426
1072	70367	67350
1073	70422	67275
1074	70475	67198
1075	70532	67124
1076	70588	67049
1077	70647	66977
1078	70706	66906
1079	70766	66834
1080	70824	66762
1081	70880	66688
1082	70939	66616
1083	70995	66541
1084	71052	66468
1085	71107	66392
1086	71166	66321
1087	71217	66242
1088	71271	66166
1089	71330	66095
1090	71385	66020
1091	71440	65944
1092	71497	65871
1093	71551	65796
1094	71607	65722
1095	71661	65646
1096	71718	65572
1097	71774	65499
1098	71832	65426
1099	71892	65356
1100	71970	65303
1101	72041	65243
1102	72109	65180
1103	72172	65112
1104	72230	65040
1105	72289	64969
1106	72347	64897
1107	72400	64820
1108	72454	64745
1109	72509	64671
1110	72563	64595
1111	72619	64521
1112	72672	64445
1113	72730	64373
1114	72785	64299
1115	72842	64227
1116	72902	64156
1117	72960	64085
1118	73014	64009
1119	73069	63935
1120	73126	63863
1121	73184	63791
1122	73239	63717
1123	73296	63645
1124	73363	63581
1125	73431	63518
1126	73503	63459
1127	73568	63394
1128	73639	63334
1129	73713	63276
1130	73770	63204
1131	73828	63132
1132	73879	63055
1133	73932	62979
1134	73985	62903
1135	74047	62835
1136	74115	62773
1137	74185	62712
1138	74259	62654
1139	74329	62593
1140	74396	62529
1141	74451	62455
1142	74508	62383
1143	74565	62312
1144	74623	62240
1145	74681	62169
1146	74734	62094
1147	74790	62021
1148	74860	61960
1149	74932	61900
1150	75004	61841
1151	75080	61785
1152	75151	61724
1153	75208	61653
1154	75262	61578
1155	75318	61505
1156	75376	61434
1157	75434	61364
1158	75493	61293
1159	75551	61222
1160	75608	61150
1161	75663	61077
1162	75724	61009
